BookTitle,ISBN,authors,Summary,ISBN13,Rating,RatingCount
the hunger games,439023483,suzanne collins,"could you survive on your own, in the wild, with everyone out to make sure you don't live to see the morning?in the ruins of a place once known as north america lies the nation of panem, a shining capitol surrounded by twelve outlying districts. the capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual hunger games, a fight to the death on live tv. sixteen-year-old katniss everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she is forced to represent her district in the games. but katniss has been close to dead before - and survival, for her, is second nature. without really meaning to, she becomes a contender. but if she is to win, she will have to start making choices that weigh survival against humanity and life against love.new york times bestselling author suzanne collins delivers equal parts suspense and philosophy, adventure and romance, in this searing novel set in a future with unsettling parallels to our present.(front flap)",9780439023480.0,4.2797070946242215,22806
twilight,316015849,stephenie meyer,"about three things i was absolutely positive.first, edward was a vampire.second, there was a part of him—and i didn't know how dominant that part might be—that thirsted for my blood.and third, i was unconditionally and irrevocably in love with him.in the first book of the twilight saga, internationally bestselling author stephenie meyer introduces bella swan and edward cullen, a pair of star-crossed lovers whose forbidden relationship ripens against the backdrop of small-town suspicion and a mysterious coven of vampires. this is a love story with bite.",9780316015840.0,3.245738234128108,70628
to kill a mockingbird,61120081,harper lee,"the unforgettable novel of a childhood in a sleepy southern town and the crisis of conscience that rocked it, to kill a mockingbird became both an instant bestseller and a critical success when it was first published in 1960. it went on to win the pulitzer prize in 1961 and was later made into an academy award-winning film, also a classic.compassionate, dramatic, and deeply moving, to kill a mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. now with over 18 million copies in print and translated into forty languages, this regional story by a young alabama woman claims universal appeal. harper lee always considered her book to be a simple love story. today it is regarded as a masterpiece of american literature.",9780061120080.0,4.3293692372171,19088
the hobbit or there and back again,618260307,j.r.r. tolkien,"in a hole in the ground there lived a hobbit. not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.written for j.r.r. tolkien’s own children, the hobbit met with instant critical acclaim when it was first published in 1937. now recognized as a timeless classic, this introduction to the hobbit bilbo baggins, the wizard gandalf, gollum, and the spectacular world of middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon smaug the magnificent. the text in this 372-page paperback edition is based on that first published in great britain by collins modern classics (1998), and includes a note on the text by douglas a. anderson (2001). unforgettable!",9780618260300.0,4.1484766679521785,15558
divergent,62024035,veronica roth,"in beatrice prior's dystopian chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—candor (the honest), abnegation (the selfless), dauntless (the brave), amity (the peaceful), and erudite (the intelligent). on an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. for beatrice, the decision is between staying with her family and being who she really is—she can't have both. so she makes a choice that surprises everyone, including herself.during the highly competitive initiation that follows, beatrice renames herself tris and struggles alongside her fellow initiates to live out the choice they have made. together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. as initiation transforms them all, tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. but tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. and as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.",9780062024040.0,4.034040747028863,11780
catching fire,439023491,suzanne collins,"sparks are igniting.flames are spreading.and the capitol wants revenge.against all odds, katniss has won the hunger games. she and fellow district 12 tribute peeta mellark are miraculously still alive. katniss should be relieved, happy even. after all, she has returned to her family and her longtime friend, gale. yet nothing is the way katniss wishes it to be. gale holds her at an icy distance. peeta has turned his back on her completely. and there are whispers of a rebellion against the capitol - a rebellion that katniss and peeta may have helped create.much to her shock, katniss has fueled an unrest she's afraid she cannot stop. and what scares her even more is that she's not entirely convinced she should try. as time draws near for katniss and peeta to visit the districts on the capitol's cruel victory tour, the stakes are higher than ever. if they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.in catching fire, the second novel in the hunger games trilogy, suzanne collins continues the story of katniss everdeen, testing her more than ever before...and surprising readers at every turn.",9780439023500.0,4.133421959030757,16549
harry potter and the prisoner of azkaban,043965548X,"j.k. rowling, mary grandpré, rufus beck","harry potter's third year at hogwarts is full of new dangers. a convicted murderer, sirius black, has broken out of azkaban prison, and it seems he's after harry. now hogwarts is being patrolled by the dementors, the azkaban guards who are hunting sirius. but harry can't imagine that sirius or, for that matter, the evil lord voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. meanwhile, life continues as usual at hogwarts. a top-of-the-line broom takes harry's success at quidditch, the sport of the wizarding world, to new heights. a cute fourth-year student catches his eye. and he becomes close with the new defense of the dark arts teacher, who was a childhood friend of his father. yet despite the relative safety of life at hogwarts and the best efforts of the dementors, the threat of sirius black grows ever closer. but if harry has learned anything from his education in wizardry, it is that things are often not what they seem. tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series.--scholastic.com",9780439655480.0,4.418732261116367,15855
mockingjay,439023513,suzanne collins,"my name is katniss everdeen.why am i not dead?i should be dead.katniss everdeen, girl on fire, has survived, even though her home has been destroyed. gale has escaped. katniss's family is safe. peeta has been captured by the capitol. district 13 really does exist. there are rebels. there are new leaders. a revolution is unfolding.it is by design that katniss was rescued from the arena in the cruel and haunting quarter quell, and it is by design that she has long been part of the revolution without knowing it. district 13 has come out of the shadows and is plotting to overthrow the capitol. everyone, it seems, has had a hand in the carefully laid plans--except katniss.the success of the rebellion hinges on katniss's willingness to be a pawn, to accept responsibility for countless lives, and to change the course of the future of panem. to do this, she must put aside her feelings of anger and distrust. she must become the rebels' mockingjay--no matter what the personal cost.",9780439023510.0,3.8531310725255437,15953
harry potter and the order of the phoenix,439358078,"j.k. rowling, mary grandpré","there is a door at the end of a silent corridor. and it’s haunting harry pottter’s dreams. why else would he be waking in the middle of the night, screaming in terror?harry has a lot on his mind for this, his fifth year at hogwarts: a defense against the dark arts teacher with a personality like poisoned honey; a big surprise on the gryffindor quidditch team; and the looming terror of the ordinary wizarding level exams. but all these things pale next to the growing threat of he-who-must-not-be-named---a threat that neither the magical government nor the authorities at hogwarts can stop.as the grasp of darkness tightens, harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.his fate depends on them all.",9780439358070.0,4.358697076943243,15258
the lovely bones,316166685,alice sebold,"the lovely bones is the story of a family devastated by a gruesome murder -- a murder recounted by the teenage victim. upsetting, you say? remarkably, first-time novelist alice sebold takes this difficult material and delivers a compelling and accomplished exploration of a fractured family's need for peace and closure.the details of the crime are laid out in the first few pages: from her vantage point in heaven, susie salmon describes how she was confronted by the murderer one december afternoon on her way home from school. lured into an underground hiding place, she was raped and killed. but what the reader knows, her family does not. anxiously, we keep vigil with susie, aching for her grieving family, desperate for the killer to be found and punished.sebold creates a heaven that's calm and comforting, a place whose residents can have whatever they enjoyed when they were alive -- and then some. but susie isn't ready to release her hold on life just yet, and she intensely watches her family and friends as they struggle to cope with a reality in which she is no longer a part. to her great credit, sebold has shaped one of the most loving and sympathetic fathers in contemporary literature.",9780316166680.0,3.630555793440096,11677
harry potter and the chamber of secrets,439064864,"j.k. rowling, mary grandpré","the dursleys were so mean and hideous that summer that all harry potter wanted was to get back to the hogwarts school for witchcraft and wizardry. but just as he's packing his bags, harry receives a warning from a strange, impish creature named dobby who says that if harry potter returns to hogwarts, disaster will strikeand strike it does. for in harry's second year at hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, gilderoy lockhart, a spirit named moaning myrtle who haunts the girls' bathroom, and the unwanted attentions of ron weasley's younger sister, ginny.but each of these seem minor annoyances when the real trouble begins, and someone -- or something -- starts turning hogwarts students to stone. could it be draco malfoy, a more poisonous rival than ever? could it possibly be hagrid, whose mysterious past is finally told? or could it be the one everyone at hogwarts most suspects . . . harry potter himself?--jacket description",9780439064870.0,4.229418151625471,15657
harry potter and the goblet of fire,439139600,"j.k. rowling, mary grandpré","harry potter is midway through his training as a wizard and his coming of age. harry wants to get away from the pernicious dursleys and go to the international quidditch cup. he wants to find out about the mysterious event that's supposed to take place at hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for a hundred years. he wants to be a normal, fourteen-year-old wizard. but unfortunately for harry potter, he's not normal - even by wizarding standards. and in his case, different can be deadly. --back cover",9780439139600.0,4.430780132706307,15523
harry potter and the deathly hallows,545010225,"j.k. rowling, mary grandpré","harry potter is leaving privet drive for the last time. but as he climbs into the sidecar of hagrid’s motorbike and they take to the skies, he knows lord voldemort and the death eaters will not be far behind.the protective charm that has kept him safe until now is broken. but the dark lord is breathing fear into everything he loves. and he knows he can’t keep hiding.to stop voldemort, harry knows he must find the remaining horcruxes and destroy them.he will have to face his enemy in one final battle.--jkrowling.com",9780545010220.0,4.525940930475692,15304
the da vinci code,307277674,dan brown,"an ingenious code hidden in the works of leonardo da vinci.a desperate race through the cathedrals and castles of europe.an astonishing truth concealed for centuries . . . unveiled at last.while in paris, harvard symbologist robert langdon is awakened by a phone call in the dead of the night. the elderly curator of the louvre has been murdered inside the museum, his body covered in baffling symbols. as langdon and gifted french cryptologist sophie neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of leonardo da vinci—clues visible for all to see and yet ingeniously disguised by the painter.even more startling, the late curator was involved in the priory of sion—a secret society whose members included sir isaac newton, victor hugo, and da vinci—and he guarded a breathtaking historical secret. unless langdon and neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.",9780307277670.0,3.6209455324357407,13072
harry potter and the half-blood prince,439785960,"j.k. rowling, mary grandpré","when harry potter and the half-blood prince opens, the war against voldemort has begun. the wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the muggles. dumbledore is away from hogwarts for long periods, and the order of the phoenix has suffered grievous losses. and yet, as in all wars, life goes on.harry, ron, and hermione, having passed their o.w.l. level exams, start on their specialist n.e.w.t. courses. sixth-year students learn to apparate, losing a few eyebrows in the process. teenagers flirt and fight and fall in love. harry becomes captain of the gryffindor quidditch team, while draco malfoy pursues his own dark ends. and classes are as fascinating and confounding as ever, as harry receives some extraordinary help in potions from the mysterious half-blood prince.most importantly, dumbledore and harry work together to uncover the full and complex story of a boy once named tom riddle—the boy who became lord voldemort. like harry, he was the son of one muggle-born and one wizarding parent, raised unloved, and a speaker of parseltongue. but the similarities end there, as the teenaged riddle became deeply interested in the dark objects known as horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder.harry must use all the tools at his disposal to draw a final secret out of one of riddle’s teachers, the sly potions professor horace slughorn. finally harry and dumbledore hold the key to the dark lord’s weaknesses... until a shocking reversal exposes dumbledore’s own vulnerabilities, and casts harry’s—and hogwarts’s—future in shadow.source: http://harrypotter.scholastic.com",9780439785970.0,4.443339301107353,15081
the giver,385732554,lois lowry,twelve-year-old jonas lives in a seemingly ideal world. not until he is given his life assignment as the receiver does he begin to understand the dark secrets behind this fragile community.,9780385732550.0,4.0673120832952785,10949
"the lion, the witch and the wardrobe",60764899,c.s. lewis,"there are a thousand stories in the land of narnia, and the first is about to be told in an extraordinary motion picture, the chronicles of narnia: the lion, the witch and the wardrobe, from walt disney pictures and walden media.in the never-ending war between good and evil, the chronicles of narnia set the stage for battles of epic proportions. some take place in vast fields, where the forces of light and darkness clash. but other battles occur within the small chambers of the heart and are equally decisive.journeys to the ends of the world, fantastic creatures, betrayals, heroic deeds and friendships won and lost -- all come together in an unforgettable world of magic. so join the battle to end all battles.the second volume inthe chronicles of narnia®the lion, the witch and the wardrobenarnia .... a land frozen in eternal winter ... a country waiting to be set free.four adventurers step through a wardrobe door and into the land of narnia -- a land enslaved by the power of the white witch. but when almost all hope is lost, the return of the great lion, aslan, signals a great change ... and a great sacrifice.(back cover)",9780060764890.0,4.097333638933455,13089
the time traveler's wife,965818675,audrey niffenegger,"a funny, often poignant tale of boy meets girl with a twist: what if one of them couldn't stop slipping in and out of time? highly original and imaginative, this debut novel raises questions about life, love, and the effects of time on relationships.audrey niffenegger’s innovative debut, the time traveler’s wife, is the story of clare, a beautiful art student, and henry, an adventuresome librarian, who have known each other since clare was six and henry was thirty-six, and were married when clare was twenty-three and henry thirty-one. impossible but true, because henry is one of the first people diagnosed with chrono-displacement disorder: periodically his genetic clock resets and he finds himself misplaced in time, pulled to moments of emotional gravity in his life, past and future. his disappearances are spontaneous, his experiences unpredictable, alternately harrowing and amusing. the time traveler’s wife depicts the effects of time travel on henry and clare’s marriage and their passionate love for each other as the story unfolds from both points of view. clare and henry attempt to live normal lives, pursuing familiar goals—steady jobs, good friends, children of their own. all of this is threatened by something they can neither prevent nor control, making their story intensely moving and entirely unforgettable.",9780965818670.0,3.863786709431693,9977
